Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Own 1-20,1.0,6,6.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Own 21-50,1.0,8,8.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,1.0,2,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,2.0,18,9.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Alex Singleton,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Alex Singleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Baron Browning,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Own 21-50,,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,8.0,5.0,3.0,1.5,2.0,9.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Baron Browning,13.0,8.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,1.0,21,21.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Own 21-50,3.0,68,22.7,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,2.0,20,10.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Own 1-20,1.0,12,12.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Own 21-50,6.0,82,13.7,0.0,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,7.0,74,10.6,0.0,25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,3.0,21,7.0,2.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,D.J. Jones,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Essang Bassey,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Essang Bassey,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,1.0,9,9.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Dulcich,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,1.0,13,13.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Dulcich,,,,,,,,,,,,,,,,,,,,,
Own 21-50,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Own 1-20,0.0,8,2.7,0.0,6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Own 21-50,3.0,56,4.3,0.0,15,13.0,9.0,3.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,3.0,34,4.3,0.0,9,8.0,10.0,3.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,0.0,-2,-2.0,0.0,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Own 1-20,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Own 21-50,2.0,18,9.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,1.0,7,7.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,1.0,-3,-3.0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,15.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,18.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,6.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,9.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Josey Jewell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Josey Jewell,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Josey Jewell,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Justin Simmons,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Justin Simmons,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Justin Simmons,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,21.0,16.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,21.0,16.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
