Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs WAS,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs OAK,4.0,52,4.0,0.0,11,13.0,5.0,1.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs WAS,2.0,44,3.7,0.0,15,12.0,14.0,7.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs MIA,5.0,81,16.2,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs WAS,3.0,25,8.3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,5.0,2.0,3.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,1.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,7.0,4.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,8.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Josey Jewell,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Josey Jewell,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Josey Jewell,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Justin Simmons,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs WAS,1.0,4,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs OAK,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs WAS,1.0,4,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs OAK,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs WAS,2.0,113,56.5,1.0,60,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs OAK,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs WAS,2.0,113,56.5,1.0,60,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,2.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs OAK,1.0,0,0.0,0.0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
vs WAS,0.0,3,3.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Mike Purcell,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Mike Purcell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,6.0,5.0,1.0,0.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs BAL,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs CAR,,0,0.0,0.0,0,,,,,,,,P.J. Locke,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,P.J. Locke,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs BAL,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs CAR,,0,0.0,0.0,0,,,,,,,,P.J. Locke,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,P.J. Locke,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Randy Gregory,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Randy Gregory,5.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs MIA,,234,46.8,,61,,30.0,10.0,,,,,Riley Dixon,,,,,,,,,,,,5.0,0.0,0.0,3.0,60.0,3.0,40.8,,,
vs OAK,,80,40.0,,43,,0.0,0.0,,,,,Riley Dixon,,,,,,,,,,,,2.0,0.0,0.0,1.0,50.0,0.0,40.0,,,
vs WAS,,134,44.7,,46,,9.0,4.5,,,,,Riley Dixon,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,2.0,41.7,,,
vs MIA,,306,8.1,1.0,46,0.0,0.0,0.0,0.0,0.0,,,Russell Wilson,,,,1.0,,,,,,1.0,,,,,,,38.0,,23.0,60.5,83.9
vs OAK,,177,5.2,2.0,21,1.0,1.0,1.0,0.0,1.0,,,Russell Wilson,,,,2.0,,,,,,0.0,,,,,,,34.0,,27.0,79.4,108.0
vs WAS,,308,9.6,3.0,60,6.0,56.0,9.3,0.0,15.0,,,Russell Wilson,,,,7.0,,,,,,1.0,,,,,,,32.0,,18.0,56.3,107.3
vs MIA,2.0,9,3.0,0.0,3,3.0,15.0,7.5,0.0,8.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs OAK,4.0,41,5.1,0.0,12,8.0,37.0,9.3,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs WAS,3.0,4,4.0,0.0,4,1.0,20.0,6.7,0.0,9.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs BAL,3.0,39,13.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs CIN,3.0,42,14.0,1.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs CLE,2.0,16,8.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs DAL,4.0,85,21.3,1.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs DET,2.0,21,10.5,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs JAC,3.0,37,12.3,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs KC,7.0,104,14.9,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs LAC,2.0,26,13.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs NYG,4.0,39,9.8,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs NYJ,5.0,98,19.6,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs OAK,5.0,60,12.0,1.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs PHI,3.0,14,4.7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs PIT,7.0,89,12.7,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs WAS,3.0,64,21.3,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Tremon Smith,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,1.0,0,0.0,0.0,0,1.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
